CodeGeneration,Code,Generation,Name,Latitude,Longitude,Altitude,Earliest annual mean,Latest annual mean,Status,StatusCode,Responsible Institute(s),Notes
MDY1,MDY,1,Midway 1,28.217,-177.383,,1964,1966,Closed,3,US Coast and Geodetic Survey,
MEA1,MEA,1,Meanook,54.616,-113.347,700,1916,,Open,2,http://www.geomag.nrcan.gc.ca,
MEL1,MEL,1,Melbourne,-37.833,144.983,,1893,1921,Closed,3,,
MEV1,MEV,1,Melville A. F. B.,53.28,-60.53,,1966,1972,Closed,3,,
MEX1,MEX,1,Mexico City,19.433,-99.117,,1879,1887,Closed,3,,
MFP1,MFP,1,Moca,3.35,8.667,,1958,1971,Closed,3,,
MGD1,MGD,1,Magadan (Stekolnyy),60.117,151.017,,1966,,Open,2,http://www.ikir.ru/en/About/index.html and http://www.gfz-potsdam.de,
MGS1,MGS,1,Magallanes,-53.15,-70.9,,,,Uncertain,0,,
MID1,MID,1,Midway,28.21,-177.38,3,2000,2002,Closed,3,http://geomag.usgs.gov/,
MIN1,MIN,1,Minamitori Shima,24.283,153.967,,1941,1941,Closed,3,,
MIO1,MIO,1,Mizuho,-70.7,44.333,,1970,1987,Uncertain,0,,
MIR1,MIR,1,Mirny,-66.55,93.017,20,1956,,Closed,3,,
MIU1,MIU,1,Miyazu,35.32,135.11,,1973,1973,Uncertain,0,,
MIZ1,MIZ,1,Mizusawa,39.112,141.204,125,1969,,Open,2,http://vldb.gsi.go.jp/sokuchi/geomag/index-e.html,
MJR1,MJR,1,Majuro,7.083,171.383,,1964,1966,Closed,3,US Coast and Geodetic Survey,
MKL1,MKL,1,Malyye Karmakuly,72.383,52.717,,1883,1883,Closed,3,,
MLT1,MLT,1,Misallat,29.515,30.892,120,1960,2003,Uncertain,0,,
MMB1,MMB,1,Memambetsu,43.91,144.189,42,1952,,Open,2,http://www.kakioka-jma.go.jp/en/,
MMH1,MMH,1,Mcmath-Hulbert,42.67,-83.3,,,,Uncertain,0,University of Michigan,variometer
MMK1,MMK,1,Loparskaya (Murmansk),68.25,33.08,210,1958,1988,Closed,3,,Latterly a variometer station
MNH1,MNH,1,Munich,48.147,11.608,,1841,1926,Closed,3,,
MNK1,MNK,1,Pleshenitkzi (Minsk),54.5,27.883,196,1961,,Open,2,,
MNN1,MNN,1,Minneapolis,44.93,-93.6,,,,Uncertain,0,University of Minnesota,variometer
MOD1,MOD,1,Modi'im,31.933,34.983,,1975,1975,Closed,3,,
MOG1,MOG,1,Mogadiscio,2.033,45.35,,1933,1933,Closed,3,,
MOH1,MOH,1,Mo He,53.5,112.4,,,,Uncertain,0,,
MOL1,MOL,1,Molodezhnaya,-67.667,45.85,0,1965,1998,Closed,3,,
MOS1,MOS,1,Moscow (Krasnaya Pakhra),55.467,37.317,200,1930, ,Open,2,http://geomag.gcras.ru/,Not continuous operation in 1930s and 1940s
